id,name,coordinatesX,coordinatesY,creationDate,annualTurnover,employeesCount,type,zipCode,locationX,locationY,locationZ
1,Кафе "Уют",35,56,2023-08-11,1500000,7,3,123456,55.7558,37.6176,50
2,Магазин "Продукты",47,32,2023-04-25,2000000,10,2,654321,59.9343,30.3351,40
3,Ресторан "Прибой",25,38,2023-10-19,3000000,15,1,987654,56.8389,60.6057,75
4,ООО "СтройКомплект",50,70,2023-07-03,5000000,25,4,111222,54.6896,25.2803,30
5,Хуй,543,65,2023-12-15,1000000,5,4,333444,53.9045,27.5615,60
6,Автосервис "АвтоМастер",30,55,2023-09-08,2500000,12,2,555666,50.4501,30.5234,45
7,Завод "ТехноПрогресс",65,45,2023-05-30,8000000,30,0,777888,57.1537,65.5423,85
8,Книжный магазин "КнигоМир",55,75,2023-11-21,1800000,8,0,999000,48.708,44.5167,55
9,Пекарня "АроматХлеба",22,42,2023-06-14,1200000,6,4,112233,51.1605,71.4704,65
10,Бутик "ЛедиСтайл",48,28,2023-02-02,900000,4,1,445566,56.3287,44.002,35
23,x5group,34,48,2007-12-03,566666,500,0,calif,21.0,12.0,21
234,yandex,242,54354535,2024-02-06,5637346,23,0,moscowcity,23.0,54.0,23
1120308163051739136,amazon,34,65,2024-02-06,56348754356,600,0,NY,34.565,45.222,54
